sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
obamacare_obamacare_obamacare 1756184919474 360 215 touchstart 428.6 401.0 0.748817 0.748817 0 obamacare 0
obamacare_obamacare_obamacare 1756184919490 360 215 touchmove 410.2 411.0 0.608362 0.608362 0 obamacare 0
obamacare_obamacare_obamacare 1756184919507 360 215 touchmove 392.4 422.3 0.654092 0.654092 0 obamacare 0
obamacare_obamacare_obamacare 1756184919524 360 215 touchmove 375.5 431.5 0.642541 0.642541 0 obamacare 0
obamacare_obamacare_obamacare 1756184919541 360 215 touchmove 358.2 441.4 0.778249 0.778249 0 obamacare 0
obamacare_obamacare_obamacare 1756184919558 360 215 touchmove 341.2 451.2 0.680745 0.680745 0 obamacare 0
obamacare_obamacare_obamacare 1756184919574 360 215 touchmove 324.4 460.8 0.636843 0.636843 0 obamacare 0
obamacare_obamacare_obamacare 1756184919591 360 215 touchmove 307.4 470.7 0.767246 0.767246 0 obamacare 0
obamacare_obamacare_obamacare 1756184919608 360 215 touchmove 290.5 480.8 0.790143 0.790143 0 obamacare 0
obamacare_obamacare_obamacare 1756184919625 360 215 touchmove 273.4 491.0 0.549502 0.549502 0 obamacare 0
obamacare_obamacare_obamacare 1756184919642 360 215 touchmove 256.1 500.2 0.671900 0.671900 0 obamacare 0
obamacare_obamacare_obamacare 1756184919659 360 215 touchmove 238.7 507.8 0.529261 0.529261 0 obamacare 0
obamacare_obamacare_obamacare 1756184919675 360 215 touchmove 220.5 513.3 0.794948 0.794948 0 obamacare 0
obamacare_obamacare_obamacare 1756184919692 360 215 touchmove 202.0 516.7 0.603331 0.603331 0 obamacare 0
obamacare_obamacare_obamacare 1756184919709 360 215 touchmove 183.1 517.7 0.660041 0.660041 0 obamacare 0
obamacare_obamacare_obamacare 1756184919726 360 215 touchmove 163.8 516.6 0.563464 0.563464 0 obamacare 0
obamacare_obamacare_obamacare 1756184919743 360 215 touchmove 144.3 513.2 0.553957 0.553957 0 obamacare 0
obamacare_obamacare_obamacare 1756184919759 360 215 touchmove 124.2 509.0 0.796084 0.796084 0 obamacare 0
obamacare_obamacare_obamacare 1756184919776 360 215 touchmove 103.8 504.3 0.690695 0.690695 0 obamacare 0
obamacare_obamacare_obamacare 1756184919793 360 215 touchmove 83.8 499.9 0.751830 0.751830 0 obamacare 0
obamacare_obamacare_obamacare 1756184919810 360 215 touchmove 63.7 495.8 0.703965 0.703965 0 obamacare 0
obamacare_obamacare_obamacare 1756184919827 360 215 touchmove 43.9 491.5 0.740002 0.740002 0 obamacare 0
obamacare_obamacare_obamacare 1756184919844 360 215 touchmove 24.3 487.4 0.785670 0.785670 0 obamacare 0
obamacare_obamacare_obamacare 1756184919860 360 215 touchmove 4.3 483.4 0.529304 0.529304 0 obamacare 0
obamacare_obamacare_obamacare 1756184919877 360 215 touchmove -15.5 479.5 0.741520 0.741520 0 obamacare 0
obamacare_obamacare_obamacare 1756184919894 360 215 touchmove -35.3 476.0 0.679781 0.679781 0 obamacare 0
obamacare_obamacare_obamacare 1756184919911 360 215 touchmove -52.8 472.6 0.658238 0.658238 0 obamacare 0
obamacare_obamacare_obamacare 1756184919928 360 215 touchmove -64.7 469.9 0.512024 0.512024 0 obamacare 0
obamacare_obamacare_obamacare 1756184919945 360 215 touchmove -71.1 468.5 0.551644 0.551644 0 obamacare 0
obamacare_obamacare_obamacare 1756184919961 360 215 touchmove -71.6 468.0 0.704824 0.704824 0 obamacare 0
obamacare_obamacare_obamacare 1756184919978 360 215 touchmove -66.4 468.5 0.753773 0.753773 0 obamacare 0
obamacare_obamacare_obamacare 1756184919995 360 215 touchmove -55.6 470.0 0.760312 0.760312 0 obamacare 0
obamacare_obamacare_obamacare 1756184920012 360 215 touchmove -39.2 472.3 0.645856 0.645856 0 obamacare 0
obamacare_obamacare_obamacare 1756184920029 360 215 touchmove -19.6 475.2 0.669395 0.669395 0 obamacare 0
obamacare_obamacare_obamacare 1756184920045 360 215 touchmove -0.4 478.1 0.607807 0.607807 0 obamacare 0
obamacare_obamacare_obamacare 1756184920062 360 215 touchmove 19.2 480.9 0.553760 0.553760 0 obamacare 0
obamacare_obamacare_obamacare 1756184920079 360 215 touchmove 38.9 483.4 0.633562 0.633562 0 obamacare 0
obamacare_obamacare_obamacare 1756184920096 360 215 touchmove 58.8 485.7 0.739023 0.739023 0 obamacare 0
