sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
speeches_speeches_speeches 1756184916888 360 215 touchstart -35.2 462.4 0.677348 0.677348 0 speeches 0
speeches_speeches_speeches 1756184916904 360 215 touchmove -21.0 461.5 0.611673 0.611673 0 speeches 0
speeches_speeches_speeches 1756184916921 360 215 touchmove -7.6 459.3 0.706451 0.706451 0 speeches 0
speeches_speeches_speeches 1756184916938 360 215 touchmove 5.4 458.1 0.544035 0.544035 0 speeches 0
speeches_speeches_speeches 1756184916955 360 215 touchmove 19.1 456.7 0.596368 0.596368 0 speeches 0
speeches_speeches_speeches 1756184916972 360 215 touchmove 32.6 455.3 0.792374 0.792374 0 speeches 0
speeches_speeches_speeches 1756184916989 360 215 touchmove 46.2 453.9 0.762840 0.762840 0 speeches 0
speeches_speeches_speeches 1756184917006 360 215 touchmove 60.1 452.4 0.598631 0.598631 0 speeches 0
speeches_speeches_speeches 1756184917023 360 215 touchmove 74.1 450.7 0.581972 0.581972 0 speeches 0
speeches_speeches_speeches 1756184917040 360 215 touchmove 87.9 449.0 0.756934 0.756934 0 speeches 0
speeches_speeches_speeches 1756184917057 360 215 touchmove 102.0 447.4 0.678502 0.678502 0 speeches 0
speeches_speeches_speeches 1756184917074 360 215 touchmove 115.9 445.5 0.589660 0.589660 0 speeches 0
speeches_speeches_speeches 1756184917090 360 215 touchmove 129.6 443.6 0.533971 0.533971 0 speeches 0
speeches_speeches_speeches 1756184917107 360 215 touchmove 143.4 441.8 0.513287 0.513287 0 speeches 0
speeches_speeches_speeches 1756184917124 360 215 touchmove 157.4 439.9 0.670954 0.670954 0 speeches 0
speeches_speeches_speeches 1756184917141 360 215 touchmove 171.4 438.2 0.507035 0.507035 0 speeches 0
speeches_speeches_speeches 1756184917158 360 215 touchmove 185.4 436.3 0.504039 0.504039 0 speeches 0
speeches_speeches_speeches 1756184917175 360 215 touchmove 199.1 434.5 0.749119 0.749119 0 speeches 0
speeches_speeches_speeches 1756184917192 360 215 touchmove 213.1 432.9 0.558842 0.558842 0 speeches 0
speeches_speeches_speeches 1756184917209 360 215 touchmove 227.4 431.3 0.522948 0.522948 0 speeches 0
speeches_speeches_speeches 1756184917226 360 215 touchmove 241.7 429.9 0.764389 0.764389 0 speeches 0
speeches_speeches_speeches 1756184917243 360 215 touchmove 255.5 428.6 0.545962 0.545962 0 speeches 0
speeches_speeches_speeches 1756184917260 360 215 touchmove 269.2 427.2 0.605191 0.605191 0 speeches 0
speeches_speeches_speeches 1756184917276 360 215 touchmove 283.2 425.8 0.796192 0.796192 0 speeches 0
speeches_speeches_speeches 1756184917293 360 215 touchmove 297.2 424.3 0.727798 0.727798 0 speeches 0
speeches_speeches_speeches 1756184917310 360 215 touchmove 310.9 422.8 0.625063 0.625063 0 speeches 0
speeches_speeches_speeches 1756184917327 360 215 touchmove 324.6 421.4 0.629330 0.629330 0 speeches 0
speeches_speeches_speeches 1756184917344 360 215 touchmove 338.2 419.7 0.753500 0.753500 0 speeches 0
speeches_speeches_speeches 1756184917361 360 215 touchmove 352.0 418.2 0.500387 0.500387 0 speeches 0
speeches_speeches_speeches 1756184917378 360 215 touchmove 365.6 416.9 0.575704 0.575704 0 speeches 0
speeches_speeches_speeches 1756184917395 360 215 touchmove 379.0 415.4 0.707844 0.707844 0 speeches 0
speeches_speeches_speeches 1756184917412 360 215 touchmove 392.5 414.0 0.752844 0.752844 0 speeches 0
speeches_speeches_speeches 1756184917429 360 215 touchmove 406.3 412.6 0.740687 0.740687 0 speeches 0
speeches_speeches_speeches 1756184917446 360 215 touchmove 420.1 411.1 0.690253 0.690253 0 speeches 0
speeches_speeches_speeches 1756184917462 360 215 touchmove 433.9 409.4 0.536374 0.536374 0 speeches 0
speeches_speeches_speeches 1756184917479 360 215 touchmove 447.7 407.6 0.757730 0.757730 0 speeches 0
speeches_speeches_speeches 1756184917496 360 215 touchmove 461.6 405.6 0.603554 0.603554 0 speeches 0
speeches_speeches_speeches 1756184917513 360 215 touchmove 471.7 404.0 0.698281 0.698281 0 speeches 0
speeches_speeches_speeches 1756184917530 360 215 touchmove 478.0 402.6 0.746070 0.746070 0 speeches 0
speeches_speeches_speeches 1756184917547 360 215 touchmove 480.1 401.5 0.739133 0.739133 0 speeches 0
speeches_speeches_speeches 1756184917564 360 215 touchmove 478.1 400.5 0.607496 0.607496 0 speeches 0
speeches_speeches_speeches 1756184917581 360 215 touchmove 472.1 400.4 0.554027 0.554027 0 speeches 0
speeches_speeches_speeches 1756184917598 360 215 touchmove 462.0 400.5 0.681392 0.681392 0 speeches 0
speeches_speeches_speeches 1756184917615 360 215 touchmove 448.2 401.0 0.722597 0.722597 0 speeches 0
speeches_speeches_speeches 1756184917632 360 215 touchmove 434.2 401.4 0.666030 0.666030 0 speeches 0
speeches_speeches_speeches 1756184917648 360 215 touchmove 420.0 401.8 0.731934 0.731934 0 speeches 0
speeches_speeches_speeches 1756184917665 360 215 touchmove 406.0 402.1 0.769216 0.769216 0 speeches 0
speeches_speeches_speeches 1756184917682 360 215 touchmove 392.3 402.2 0.617076 0.617076 0 speeches 0
speeches_speeches_speeches 1756184917699 360 215 touchmove 378.5 402.0 0.794571 0.794571 0 speeches 0
speeches_speeches_speeches 1756184917716 360 215 touchmove 365.0 401.8 0.695291 0.695291 0 speeches 0
speeches_speeches_speeches 1756184917733 360 215 touchmove 351.3 401.7 0.546669 0.546669 0 speeches 0
speeches_speeches_speeches 1756184917750 360 215 touchmove 337.3 401.2 0.540916 0.540916 0 speeches 0
speeches_speeches_speeches 1756184917767 360 215 touchmove 323.3 400.8 0.681052 0.681052 0 speeches 0
speeches_speeches_speeches 1756184917784 360 215 touchmove 309.3 400.5 0.740225 0.740225 0 speeches 0
speeches_speeches_speeches 1756184917801 360 215 touchmove 295.4 400.4 0.592499 0.592499 0 speeches 0
speeches_speeches_speeches 1756184917818 360 215 touchmove 281.6 400.4 0.674075 0.674075 0 speeches 0
speeches_speeches_speeches 1756184917834 360 215 touchmove 267.5 400.4 0.621610 0.621610 0 speeches 0
speeches_speeches_speeches 1756184917851 360 215 touchmove 253.4 400.2 0.517094 0.517094 0 speeches 0
speeches_speeches_speeches 1756184917868 360 215 touchmove 239.8 400.3 0.511716 0.511716 0 speeches 0
speeches_speeches_speeches 1756184917885 360 215 touchmove 226.2 400.3 0.557112 0.557112 0 speeches 0
speeches_speeches_speeches 1756184917902 360 215 touchmove 212.4 400.5 0.658955 0.658955 0 speeches 0
speeches_speeches_speeches 1756184917919 360 215 touchmove 198.7 400.7 0.720756 0.720756 0 speeches 0
speeches_speeches_speeches 1756184917936 360 215 touchmove 184.7 400.8 0.652121 0.652121 0 speeches 0
speeches_speeches_speeches 1756184917953 360 215 touchmove 171.1 401.2 0.591756 0.591756 0 speeches 0
speeches_speeches_speeches 1756184917970 360 215 touchmove 157.4 401.1 0.647750 0.647750 0 speeches 0
speeches_speeches_speeches 1756184917987 360 215 touchmove 143.4 401.2 0.525597 0.525597 0 speeches 0
speeches_speeches_speeches 1756184918004 360 215 touchmove 129.5 401.2 0.587459 0.587459 0 speeches 0
speeches_speeches_speeches 1756184918021 360 215 touchmove 115.4 401.3 0.758830 0.758830 0 speeches 0
speeches_speeches_speeches 1756184918037 360 215 touchmove 101.2 401.2 0.624807 0.624807 0 speeches 0
speeches_speeches_speeches 1756184918054 360 215 touchmove 87.0 401.2 0.773684 0.773684 0 speeches 0
speeches_speeches_speeches 1756184918071 360 215 touchmove 72.4 400.8 0.532983 0.532983 0 speeches 0
speeches_speeches_speeches 1756184918088 360 215 touchmove 57.9 400.5 0.589530 0.589530 0 speeches 0
speeches_speeches_speeches 1756184918105 360 215 touchmove 43.6 400.1 0.595052 0.595052 0 speeches 0
speeches_speeches_speeches 1756184918122 360 215 touchmove 31.5 401.2 0.576976 0.576976 0 speeches 0
speeches_speeches_speeches 1756184918139 360 215 touchmove 22.6 404.0 0.734678 0.734678 0 speeches 0
speeches_speeches_speeches 1756184918156 360 215 touchmove 16.9 408.3 0.548894 0.548894 0 speeches 0
speeches_speeches_speeches 1756184918173 360 215 touchmove 14.5 414.3 0.594704 0.594704 0 speeches 0
speeches_speeches_speeches 1756184918190 360 215 touchmove 15.3 422.5 0.503638 0.503638 0 speeches 0
speeches_speeches_speeches 1756184918207 360 215 touchmove 19.2 432.5 0.673365 0.673365 0 speeches 0
speeches_speeches_speeches 1756184918223 360 215 touchmove 26.1 444.3 0.528250 0.528250 0 speeches 0
speeches_speeches_speeches 1756184918240 360 215 touchmove 33.8 456.7 0.795876 0.795876 0 speeches 0
speeches_speeches_speeches 1756184918257 360 215 touchmove 41.2 469.1 0.555823 0.555823 0 speeches 0
