sentence timestamp keyb_width keyb_height event x_pos y_pos x_radius y_radius angle word is_err
low_low_low 1756184849987 360 215 touchstart 467.8 465.4 0.529704 0.529704 0 low 0
low_low_low 1756184850004 360 215 touchmove 457.2 453.3 0.656811 0.656811 0 low 0
low_low_low 1756184850021 360 215 touchmove 448.1 438.2 0.516914 0.516914 0 low 0
low_low_low 1756184850038 360 215 touchmove 439.8 426.1 0.611177 0.611177 0 low 0
low_low_low 1756184850055 360 215 touchmove 428.3 416.5 0.557663 0.557663 0 low 0
low_low_low 1756184850072 360 215 touchmove 416.2 408.8 0.703765 0.703765 0 low 0
low_low_low 1756184850089 360 215 touchmove 403.0 403.4 0.793959 0.793959 0 low 0
low_low_low 1756184850107 360 215 touchmove 388.5 400.1 0.627856 0.627856 0 low 0
low_low_low 1756184850124 360 215 touchmove 372.4 399.0 0.524638 0.524638 0 low 0
low_low_low 1756184850141 360 215 touchmove 355.7 399.0 0.696143 0.696143 0 low 0
low_low_low 1756184850158 360 215 touchmove 339.5 399.8 0.567769 0.567769 0 low 0
low_low_low 1756184850175 360 215 touchmove 323.3 400.2 0.589813 0.589813 0 low 0
low_low_low 1756184850192 360 215 touchmove 307.5 400.3 0.580922 0.580922 0 low 0
low_low_low 1756184850209 360 215 touchmove 291.6 400.0 0.568921 0.568921 0 low 0
low_low_low 1756184850227 360 215 touchmove 275.3 399.7 0.595055 0.595055 0 low 0
low_low_low 1756184850244 360 215 touchmove 258.9 399.8 0.667752 0.667752 0 low 0
low_low_low 1756184850261 360 215 touchmove 242.4 400.0 0.561961 0.561961 0 low 0
low_low_low 1756184850278 360 215 touchmove 225.7 400.0 0.632429 0.632429 0 low 0
low_low_low 1756184850295 360 215 touchmove 209.3 399.9 0.738012 0.738012 0 low 0
low_low_low 1756184850312 360 215 touchmove 192.4 399.8 0.554175 0.554175 0 low 0
low_low_low 1756184850329 360 215 touchmove 176.0 399.6 0.544841 0.544841 0 low 0
low_low_low 1756184850347 360 215 touchmove 159.8 399.9 0.606157 0.606157 0 low 0
low_low_low 1756184850364 360 215 touchmove 143.7 400.0 0.738579 0.738579 0 low 0
low_low_low 1756184850381 360 215 touchmove 127.4 400.0 0.675560 0.675560 0 low 0
low_low_low 1756184850398 360 215 touchmove 111.0 400.0 0.677839 0.677839 0 low 0
low_low_low 1756184850415 360 215 touchmove 94.5 399.8 0.689623 0.689623 0 low 0
low_low_low 1756184850432 360 215 touchmove 78.0 399.7 0.697435 0.697435 0 low 0
low_low_low 1756184850449 360 215 touchmove 61.1 400.1 0.536599 0.536599 0 low 0
low_low_low 1756184850467 360 215 touchmove 44.1 400.3 0.609968 0.609968 0 low 0
low_low_low 1756184850484 360 215 touchmove 27.0 400.6 0.549782 0.549782 0 low 0
low_low_low 1756184850501 360 215 touchmove 10.4 401.0 0.675448 0.675448 0 low 0
low_low_low 1756184850518 360 215 touchmove -6.3 401.5 0.684021 0.684021 0 low 0
low_low_low 1756184850535 360 215 touchmove -22.7 401.5 0.726218 0.726218 0 low 0
low_low_low 1756184850552 360 215 touchmove -40.1 404.1 0.771259 0.771259 0 low 0
low_low_low 1756184850569 360 215 touchmove -56.6 403.8 0.597880 0.597880 0 low 0
low_low_low 1756184850587 360 215 touchend -70.5 400.2 0.788731 0.788731 0 low 0
